"filename", "language", "YAML", "Dart", "XML", "comment", "blank", "total"
"d:\WORK\code\flutter\vibe\flutter_vss\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 1, 0, 0, 1
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\home\view\home_view.dart", "Dart", 0, 1, 0, 0, 0, 1
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\home\view\widget\home_appbar.dart", "Dart", 0, 5, 0, 0, -1, 4
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\home\view_model\home_view_model.dart", "Dart", 0, 12, 0, 0, 3, 15
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\login\view_model\login_view_model.dart", "Dart", 0, 6, 0, 5, 4, 15
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\order\check_order\view\check_orders_view.dart", "Dart", 0, 17, 0, 0, 2, 19
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\order\check_order\view\widget\check_orders_print_wayybill_floating_button.dart", "Dart", 0, 21, 0, 0, 3, 24
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\order\detail\view\widget\check_orders_navigate_button.dart", "Dart", 0, 0, 0, 0, 1, 1
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\order\detail\view_model\order_detail_view_model.dart", "Dart", 0, 2, 0, 0, 0, 2
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\order\wayybill\view\mixin\wayybill_view_mixin.dart", "Dart", 0, 7, 0, 5, 3, 15
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\order\wayybill\view\wayybill_view.dart", "Dart", 0, 5, 0, 0, 1, 6
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\order\wayybill\view\widget\print_wayybill_floating_button.dart", "Dart", 0, -22, 0, 0, -3, -25
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\order\wayybill\view\widget\waybill_floating_buttons.dart", "Dart", 0, 40, 0, 0, 3, 43
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\order\wayybill\view_model\state\wayybill_base_state.dart", "Dart", 0, 6, 0, 0, 2, 8
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\order\wayybill\view_model\wayybill_view_model.dart", "Dart", 0, 67, 0, 5, 11, 83
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\settings\view\settings_view.dart", "Dart", 0, 1, 0, 0, 0, 1
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\settings\view\widget\baseurl_companyno_text_column.dart", "Dart", 0, 10, 0, 0, 0, 10
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\settings\view_model\settings_view_model.dart", "Dart", 0, 8, 0, 1, 1, 10
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\shipment\home\view\mixin\shipment_view_mixin.dart", "Dart", 0, 24, 0, 2, 9, 35
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\shipment\home\view\shipment_view.dart", "Dart", 0, 52, 0, 1, 6, 59
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\shipment\home\view\widget\shipment_appbar.dart", "Dart", 0, 39, 0, 1, 6, 46
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\shipment\home\view\widget\shipment_listview_separated.dart", "Dart", 0, 19, 0, 1, 4, 24
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\shipment\home\view_model\shipment_view_model.dart", "Dart", 0, 12, 0, 59, 3, 74
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\shipment\home\view_model\state\shipment_base_state.dart", "Dart", 0, 7, 0, 0, 2, 9
"d:\WORK\code\flutter\vibe\flutter_vss\lib\printer_page.dart", "Dart", 0, -62, 0, -30, -9, -101
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\cache\hive\hive_adapter_id.dart", "Dart", 0, 10, 0, 1, 3, 14
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\cache\hive\hive_adater_id.dart", "Dart", 0, -10, 0, -1, -3, -14
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\navigation\app_router.dart", "Dart", 0, -2, 0, 0, 0, -2
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\navigation\app_router.gr.dart", "Dart", 0, 9, 0, -2, 1, 8
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\service\manager\product_network_error_manager.dart", "Dart", 0, 0, 0, 1, 1, 2
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\service\model\login\login.dart", "Dart", 0, 9, 0, 0, 0, 9
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\service\model\login\login.g.dart", "Dart", 0, 4, 0, 0, 0, 4
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\service\model\login\login_response.dart", "Dart", 0, 3, 0, 0, 0, 3
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\service\model\login\login_response.g.dart", "Dart", 0, 2, 0, 0, 0, 2
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\service\model\order\order_detail.dart", "Dart", 0, 18, 0, 0, 2, 20
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\state\container\product_state_container.dart", "Dart", 0, 11, 0, 0, 0, 11
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\state\container\product_state_items.dart", "Dart", 0, 9, 0, 0, 3, 12
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\utility\bluetooth\bluetooth_print_mixin.dart", "Dart", 0, 30, 0, 1, 6, 37
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\utility\bluetooth\bluetooth_printer_manager.dart", "Dart", 0, 25, 0, 0, 4, 29
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\utility\bluetooth\bluetooth_printer_operation.dart", "Dart", 0, 46, 0, 2, 10, 58
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\utility\bluetooth\index.dart", "Dart", 0, 2, 0, 0, 1, 3
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\utility\bluetooth\interface\base\bluetooth_printer_base_mixin.dart", "Dart", 0, 4, 0, 0, 2, 6
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\utility\bluetooth\interface\i_bluetooth_printer_manager.dart", "Dart", 0, 6, 0, 0, 2, 8
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\utility\bluetooth\interface\i_bluetooth_printer_operation.dart", "Dart", 0, 15, 0, 0, 5, 20
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\utility\bluetooth\state\bluetooth_connection_state.dart", "Dart", 0, 17, 0, 0, 4, 21
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\utility\constants\project_images.dart", "Dart", 0, -1, 0, 0, 0, -1
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\utility\constants\project_strings.dart", "Dart", 0, 9, 0, 0, 0, 9
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\utility\constants\project_values.dart", "Dart", 0, 1, 0, 0, 0, 1
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\utility\permission_handler\interface\product_permission_operation.dart", "Dart", 0, 5, 0, 0, 1, 6
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\utility\permission_handler\product_permission_handler.dart", "Dart", 0, 31, 0, 0, 4, 35
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\utility\validators\validator_items.dart", "Dart", 0, 5, 0, 0, 1, 6
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\widget\bottom_sheet\base\bottom_sheet_base.dart", "Dart", 0, 12, 0, 2, 3, 17
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\widget\bottom_sheet\bluetooth_bottom_sheet\view\bluetooth_bottom_sheet.dart", "Dart", 0, 66, 0, 1, 7, 74
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\widget\bottom_sheet\bluetooth_bottom_sheet\view\mixin\bluetooth_bottom_sheet_mixin.dart", "Dart", 0, 18, 0, 0, 6, 24
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\widget\bottom_sheet\bluetooth_bottom_sheet\view\widget\bluetooth_devices_listview.dart", "Dart", 0, 19, 0, 0, 4, 23
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\widget\bottom_sheet\bluetooth_bottom_sheet\view_model\bluetooth_bottom_sheet_view_model.dart", "Dart", 0, 44, 0, 1, 9, 54
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\widget\bottom_sheet\bluetooth_bottom_sheet\view_model\state\bluetooth_bottom_sheet_base_state.dart", "Dart", 0, 8, 0, 0, 2, 10
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\widget\bottom_sheet\bluetooth_bottom_sheet\view_model\state\bluetooth_bottom_sheet_state.dart", "Dart", 0, 22, 0, 0, 4, 26
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\widget\product_listview.dart\base_summary_listview_model.dart", "Dart", 0, 3, 0, 0, 1, 4
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\widget\product_listview.dart\product_summary_separated.dart", "Dart", 0, 37, 0, 0, 3, 40
"d:\WORK\code\flutter\vibe\flutter_vss\pubspec.yaml", "YAML", 1, 0, 0, 0, 0, 1
"Total", "-", 1, 764, 1, 56, 137, 959